Name,Price,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin D,Calcium,Iron,Potassium
SHREDDED MOZZARELLA,4.29,80 ,5.0 g,3.0 g,0 g,15 mg,150 mg,1 g,0 g,0 g,8 g,0 mcg,210 mg,0 mg,20 mg
DIP ROASTED HATCH CHILE & JALAPENO CHEESE,4.99,60 ,5 g,3.5 g,0 g,15 mg,150 mg,2 g,0 g,less than 1 g,2 g,0.2 mcg,50 mg,0.0 mg,40 mg
SIDE KUNG PAO BRUSSELS SPROUTS,5.99,120 ,5 g,0.5 g,0 g,0 mg,360 mg,15 g,3 g,7 g,3 g,0.0 mcg,40 mg,1.1 mg,360 mg
HOL CINNAMON SUGAR TOFFEE TRIO,4.99,170 ,11 g,6 g,0 g,10 mg,75 mg,19 g,less than 1 g,18 g,less than 1 g,0.1 mcg,20 mg,0.6 mg,60 mg
COOKIE DOUGH SUPER CHOCOLATEY CHOCOLATE CHUNK,4.99,140 ,6 g,3.5 g,0 g,15 mg,135 mg,23 g,less than 1 g,14 g,2 g,0.1 mcg,10 mg,1.3 mg,20 mg
PREM CHUNK WHITE CHICKEN,3.99,70,1.5g,0g,0g,40mg,250mg,0g,0g,N/A,12g,N/A,,,N/A
MIREPOIX MIX 14.5 OZ,3.49,30,0 g,0 g,0 g,0 mg,45 mg,6 g,2 g,3 g,1 g,0.0 mcg,27 mg,0 mg,207 mg
CHICKEN BREAKFAST SAUSAGE PATTIES,3.29,140 ,9 g,2.0 g,0 g,70 mg,390 mg,1 g,0 g,0 g,13 g,0.0 mcg,20 mg,1.1 mg,460 mg
COOKIE DOUGH GLUTEN FREE CHOCOLATE CHUNK,4.99,170 ,9 g,4.5 g,0 g,10 mg,150 mg,22 g,less than 1 g,12 g,less than 1 g,0.2 mcg,10 mg,0.9 mg,40 mg
WHOLE KERNEL CORN SWEET & CRSP,0.99,60 ,0.5 g,0 g,0 g,0 mg,200 mg,9 g,1 g,2 g,1 g,0.0 mcg,10 mg,0.2 mg,130 mg
HEAVY CREAM ORGANIC PINT,3.49,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL BROOM CINNAMON MINI,1.29,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL BROOM CINNAMON LARGE,4.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SOUP CHICKEN NOODLE,2.99,110 ,3.0 g,1.0 g,0 g,25 mg,550 mg,14 g,1 g,less than 1 g,7 g,0.0 mcg,30 mg,0.6 mg,370 mg
ALMONDS BLACK PEPPER & GARLIC,4.99,180 ,16 g,1.0 g,0 g,0 mg,95 mg,6 g,3 g,1 g,6 g,0.0 mcg,80 mg,1.1 mg,210 mg
ORKNEY CHEDDAR,4.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FROZEN BAGUETTES ORGANIC 2 DEMI FRENCH,2.49,150 ,0.5 g,0 g,0 g,0 mg,270 mg,33 g,2 g,1 g,4 g,0.0 mcg,10 mg,0.6 mg,100 mg
HOL FALL CANDLE TIN TRIO,8.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CANDLE WOODLANDS,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
R-SALAD COMPLETE AVOCADO RANCH,3.99,140 ,11 g,2.5 g,0 g,10 mg,240 mg,8 g,2 g,3 g,3 g,0.1 mcg,80 mg,0.6 mg,180 mg
COOKIE DOUGH ALL-BUTTER FOR ALL COOKIES,3.99,120 ,4.5 g,2.5 g,0 g,15 mg,70 mg,19 g,0 g,9 g,2 g,0.0 mcg,10 mg,0.2 mg,20 mg
PASTA NO BOIL NOODLES,2.49,250 ,2.0 g,0.5 g,0 g,30 mg,10 mg,46 g,2 g,1 g,11 g,0.0 mcg,110 mg,0.8 mg,140 mg
HOL HONEY HYDRATION DUO,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL HALLOWEEN MINI CHOCOLATE BARS WICKED GOOD,4.99,190 ,10 g,4.5 g,0 g,less than 5 mg,85 mg,20 g,less than 1 g,16 g,4 g,0.0 mcg,50 mg,0.8 mg,170 mg
HOL PREMIUM FOLIAGE IN LARGE SUGAR SKULL,10.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BURRITO EGG WHITE FETA,4.49,410 ,18 g,6 g,0 g,30 mg,740 mg,43 g,5 g,3 g,19 g,0.1 mcg,190 mg,2.1 mg,430 mg
HOL HALLOWEEN GUMMIES INDIVIDUAL,4.49,70 ,0 g,0 g,0 g,0 mg,20 mg,16 g,0 g,14 g,0 g,0 mcg,0 mg,0 mg,0 mg
GUACASALSA,3.99,20 ,1.5 g,0 g,0 g,0 mg,135 mg,2 g,less than 1 g,less than 1 g,0 g,0.0 mcg,0 mg,0.2 mg,90 mg
COCONUT WATER NATURAL 16.9 OZ,1.69,45 ,0 g,0 g,0 g,0 mg,5 mg,11 g,0 g,11 g,0 g,0.0 mcg,40 mg,0.0 mg,490 mg
COCONUT WATER NTRL 1 LT,3.29,45,0 g,0 g,0 g,0 mg,30 mg,11 g,0 g,11 g,0 g,0.0 mcg,40 mg,0.0 mg,470 mg
HOL BUTTERNUT SQUASH AND CARAMELIZED ONION TART,9.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL BRAIN CACTUS IN SKULL CERAMIC,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BAG 8 GAL INSULATED YELLOW,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL TEENY TINY APPLE PIES,4.99,200 ,10 g,4.5 g,0 g,0 mg,95 mg,27 g,less than 1 g,12 g,2 g,0.0 mcg,20 mg,0.8 mg,50 mg
CRACKERS ORG SEEDY GLUTEN FREE,3.99,140 ,5.0 g,0.5 g,0 g,0 mg,170 mg,20 g,2 g,0 g,4 g,0.0 mcg,60 mg,1.2 mg,120 mg
CROISSANTS DBL CHOC PAIN AU CHOCOLAT,5.49,340 ,19 g,12 g,0.5 g,40 mg,250 mg,36 g,2 g,11 g,6 g,0.3 mcg,20 mg,3.6 mg,190 mg
HOL DAY OF THE DEAD CAT AND DOG IN DECO,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
R- SALAD RED BUTTER ORG 6 OZ,2.49,10 ,0 g,0 g,0 g,0 mg,0 mg,2 g,less than 1 g,less than 1 g,1 g,0.0 mcg,30 mg,1.1 mg,200 mg
R-CABBAGE NAPA CUT,3.49,15 ,0 g,0 g,0 g,0 mg,10 mg,3 g,1 g,1 g,1 g,0.0 mcg,70 mg,0.3 mg,200 mg
BALSAMIC GLAZE TRUFFLE,4.99,35 ,0 g,0 g,0 g,0 mg,0 mg,9 g,0 g,9 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
DIP CHEESY GARLIC ASIAGO,4.99,70 ,6 g,3.5 g,0 g,15 mg,150 mg,2 g,0 g,less than 1 g,2 g,0.2 mcg,70 mg,0.0 mg,40 mg
PICKLES KOSHER DILL SPEARS,4.49,0 ,0 g,0 g,0 g,0 mg,210 mg,0 g,0 g,0 g,0 g,0.0 mcg,10 mg,0.0 mg,20 mg
CLUSTERS NUTTY OAT,4.79,270 ,10 g,1.0 g,0 g,0 mg,130 mg,41 g,4 g,12 g,5 g,0.0 mcg,30 mg,1.4 mg,170 mg
BBQ SPATCHCOCKED CHICKEN,5.99,240 ,16 g,4.5 g,0 g,75 mg,230 mg,4 g,0 g,3 g,19 g,0.2 mcg,20 mg,1.1 mg,230 mg
PICKLES KOSHER DILL CHIPS,4.49,0 ,0 g,0 g,0 g,0 mg,210 mg,0 g,0 g,0 g,0 g,0.0 mcg,10 mg,0.0 mg,20 mg
TOMATO/BASIL CHICKEN TENDERS,9.49,150 ,2.0 g,0.5 g,0 g,70 mg,810 mg,8 g,N/A,N/A,24 g,N/A,,,N/A
SAVORY HERBED CHICKEN THIGHS,8.49,140 ,6 g,1.0 g,0 g,80 mg,370 mg,3 g,Less than 1 g,0 g,18 g,0.0 mcg,30 mg,1.4 mg,310 mg
SPONGE CLOTH 5/PKG,4.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
